ID,ism,yosh,jins,TelefonRaqami,TashrifID,kirish_vaqti,chiqish_vaqti,maqsad

1,Noel Maine,53,Female,919-341-6796,103,5/1/2025 19:30,5/1/2025 06:16,Service
2,Olva Gready,28,Female,373-578-3647,103,5/1/2025 14:52,5/1/2025 06:53,View new car
3,Julita Dreakin,81,Female,523-173-3481,101,5/1/2025 13:00,5/1/2025 01:23,View new car
4,Ira Quin,42,Male,492-993-3132,102,5/1/2025 13:18,5/1/2025 13:22,Paperwork
5,Matias Kapiloff,24,Male,715-533-6854,102,5/1/2025 23:01,5/1/2025 00:33,Paperwork
6,Marillin Denyer,39,Female,203-978-5823,102,5/1/2025 16:34,5/1/2025 01:17,Paperwork
7,Northrup Ramas,73,Male,456-915-3251,101,5/1/2025 13:34,5/1/2025 08:39,Paperwork
8,Donaugh Bold,93,Male,723-698-8867,102,5/1/2025 01:33,5/1/2025 14:53,View new car
9,Leda Overstreet,67,Female,540-104-2946,104,5/1/2025 01:49,5/1/2025 00:44,Service
10,Emanuele Kaveney,46,Male,828-357-2408,104,5/1/2025 19:17,5/1/2025 01:02,Test drive
11,Betsey Buckenham,46,Female,767-228-7914,103,5/1/2025 17:32,5/1/2025 20:20,Test drive
12,Kelcie Houldey,71,Female,934-143-2842,103,5/1/2025 22:17,5/1/2025 05:21,Paperwork
13,Jarret Clerke,64,Male,897-371-2256,102,5/1/2025 07:47,5/1/2025 18:41,Service
14,Early Lamkin,63,Male,253-190-6218,101,5/1/2025 09:52,5/1/2025 00:17,View new car
15,Julianne McInteer,61,Female,762-274-9815,104,5/1/2025 07:19,5/1/2025 18:55,Service
16,Karyn Gouny,18,Female,106-389-2062,102,5/1/2025 04:16,5/1/2025 22:18,Service
17,Farlie Demcik,89,Male,271-118-2468,102,5/1/2025 07:01,5/1/2025 06:36,Paperwork
18,Victor Osipenko,94,Male,208-216-1872,101,5/1/2025 01:56,5/1/2025 18:15,View new car
19,Zed Bedford,35,Male,185-917-3067,103,5/1/2025 06:44,5/1/2025 08:20,View new car
20,Edwina Kerner,41,Female,686-519-1493,101,5/1/2025 17:09,5/1/2025 10:47,View new car
21,Yorke Betjeman,68,Male,300-810-2742,104,5/1/2025 01:19,5/1/2025 14:21,Paperwork
22,Meier Hewlings,59,Male,787-416-9155,102,5/1/2025 23:45,5/1/2025 21:22,View new car
23,Torey Wheaton,93,Female,617-279-9743,104,5/1/2025 19:24,5/1/2025 06:37,View new car
24,Raddie Gunthorpe,40,Male,490-999-3719,104,5/1/2025 11:41,5/1/2025 12:25,Service
25,Lindi Stiegar,85,Female,817-878-7386,102,5/1/2025 00:44,5/1/2025 13:20,Paperwork
26,Ruby Schanke,85,Male,991-406-7193,102,5/1/2025 20:19,5/1/2025 14:57,Service
27,Robinett Dooland,25,Female,273-753-8189,103,5/1/2025 03:54,5/1/2025 14:50,Test drive
28,Arel Ziemke,97,Male,756-196-7794,103,5/1/2025 07:27,5/1/2025 15:44,Service
29,Coralie Jump,74,Female,157-365-3663,103,5/1/2025 05:34,5/1/2025 00:26,View new car
30,Tomasina Jutson,37,Female,271-586-4190,102,5/1/2025 02:53,5/1/2025 12:00,Test drive
31,Laverna Heatlie,87,Female,328-537-8889,103,5/1/2025 00:45,5/1/2025 09:47,Service
32,Ulysses Luckcuck,86,Male,279-425-0610,101,5/1/2025 04:23,5/1/2025 18:53,Test drive
33,Crawford Fray,53,Male,962-170-6943,101,5/1/2025 07:14,5/1/2025 11:45,Test drive
34,Peyton Haliburton,46,Male,482-937-7053,101,5/1/2025 18:27,5/1/2025 04:25,View new car
35,Jamill Ripon,44,Male,847-910-5308,103,5/1/2025 22:29,5/1/2025 22:49,Service
36,Saree Pigney,58,Female,384-621-8619,101,5/1/2025 13:14,5/1/2025 05:06,Paperwork
37,Morgan Drayton,79,Male,436-684-3682,104,5/1/2025 00:46,5/1/2025 23:42,Test drive
